goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
Defeat King Dodongo,3,4,2,133.3,50.0,1:26:41,2,50.0
Defeat Bongo-Bongo,3,3,2,100.0,66.7,1:17:26,1,33.3
Beat the Forest Temple,5,5,3,100.0,60.0,1:18:54,1,20.0
3 Lake Hylia Skulltulas,5,5,2,100.0,40.0,1:28:44,1,20.0
Desert Colossus HP,4,4,1,100.0,25.0,1:22:28,2,50.0
Defeat Morpha,2,2,2,100.0,100.0,1:34:32,0,0.0
Map & Compass in Ice Cavern,5,5,2,100.0,40.0,1:17:36,2,40.0
All 3 Kokiri Forest area Skulltulas,3,3,1,100.0,33.3,1:40:45,1,33.3
Two Fairy Spells,18,16,9,88.9,56.2,1:26:30,6,37.5
Map & Compass in Shadow Temple,8,7,5,87.5,71.4,1:18:46,2,28.6
5 Zora area HPs,13,11,7,84.6,63.6,1:21:56,4,36.4
Clear 4 Silver Rupee Rooms,6,5,2,83.3,40.0,1:31:06,0,0.0
1 Skulltula from each Child Dungeon,6,5,2,83.3,40.0,1:33:18,2,40.0
Golden Gauntlets,5,4,2,80.0,50.0,1:10:34,3,75.0
7 Maps,15,12,6,80.0,50.0,1:26:26,3,25.0
15 Different Skulltulas,5,4,1,80.0,25.0,1:25:50,0,0.0
Defeat Phantom Ganon,4,3,1,75.0,33.3,1:10:24,2,66.7
6 Maps,4,3,1,75.0,33.3,1:21:40,0,0.0
3 Boots,4,3,2,75.0,66.7,1:15:00,1,33.3
8 Songs,4,3,1,75.0,33.3,1:27:47,0,0.0
Map & Compass in Spirit Temple,15,11,5,73.3,45.5,1:13:29,6,54.5
10 Songs,22,16,8,72.7,50.0,1:24:40,6,37.5
Ganon's Castle Boss Key,11,8,5,72.7,62.5,1:19:20,3,37.5
Fire Temple Boss Key,13,9,4,69.2,44.4,1:14:58,5,55.6
500 Rupees,6,4,2,66.7,50.0,1:34:01,0,0.0
Open the Final Door of Fire Trial,3,2,1,66.7,50.0,1:17:00,1,50.0
Defeat Dark Link,6,4,0,66.7,0.0,1:33:47,0,0.0
Defeat all Lizalfos in Dodongo's Cavern,6,4,3,66.7,75.0,1:19:39,2,50.0
Beat Jabu-Jabu's Belly,3,2,1,66.7,50.0,1:17:00,1,50.0
Water Medallion,3,2,1,66.7,50.0,1:30:53,0,0.0
Free all 9 Gorons in Fire Temple,6,4,2,66.7,50.0,1:17:00,2,50.0
Beat the Fire Temple,9,6,2,66.7,33.3,1:24:09,2,33.3
Open 3 Boss Key Doors,18,12,6,66.7,50.0,1:18:42,4,33.3
Din's Fire,20,13,5,65.0,38.5,1:27:57,4,30.8
Saria's Song,11,7,4,63.6,57.1,1:29:58,1,14.3
Beat the Shadow Temple,5,3,2,60.0,66.7,1:40:59,0,0.0
Get Bombchu chest in Spirit Temple,5,3,2,60.0,66.7,1:38:56,1,33.3
All 4 Wasteland/ Colossus area Skulltulas,5,3,2,60.0,66.7,1:11:55,3,100.0
Keaton Mask,5,3,1,60.0,33.3,1:40:59,1,33.3
Obtain all 5 Small Keys in Forest Temple,5,3,2,60.0,66.7,1:29:07,0,0.0
Open 3 Gold Rupee Chests,10,6,4,60.0,66.7,1:30:00,2,33.3
Map & Compass in Water Temple,5,3,2,60.0,66.7,1:17:28,1,33.3
Water Temple Boss Key,5,3,2,60.0,66.7,1:27:53,0,0.0
Silver Gauntlets,5,3,1,60.0,33.3,1:31:06,1,33.3
3 Swords & 3 Tunics,5,3,2,60.0,66.7,1:48:32,0,0.0
Defeat Amy (Green Poe),5,3,1,60.0,33.3,1:35:46,1,33.3
1 Skulltula from each Adult Dungeon,27,16,9,59.3,56.2,1:14:36,9,56.2
6 Compasses,7,4,2,57.1,50.0,1:36:31,0,0.0
7 Hearts (no duping),7,4,3,57.1,75.0,1:12:15,2,50.0
Quiver (40),14,8,4,57.1,50.0,1:26:23,2,25.0
1 Unused Small Key in each Adult Dungeon,17,9,6,52.9,66.7,1:25:12,3,33.3
8 Hearts (no duping),19,10,5,52.6,50.0,1:21:58,1,10.0
3 Tunics & 3 Boots,2,1,1,50.0,100.0,1:12:38,1,100.0
5 Hearts,8,4,1,50.0,25.0,1:27:42,1,25.0
Clear 8 Silver Rupee Rooms,8,4,3,50.0,75.0,1:25:02,1,25.0
Defeat Barinade,6,3,1,50.0,33.3,1:28:16,1,33.3
Giant's Knife,8,4,3,50.0,75.0,1:15:29,2,50.0
Lens of Truth,2,1,0,50.0,0.0,1:33:54,0,0.0
Boomerang,6,3,1,50.0,33.3,1:13:12,2,66.7
