goal,count,pick count,pick%,median,sub 1:15,sub 1:15 rate
Requiem of Spirit,38,52,136.8,1:22:31,12,23.1
Two Fairy Spells,166,206,124.1,1:22:56,47,22.8
Map & Compass in Ice Cavern,37,43,116.2,1:25:05,8,18.6
1 Skulltula from each Adult Dungeon,244,270,110.7,1:19:41,78,28.9
Beat the Deku Tree,48,52,108.3,1:23:15,10,19.2
Defeat King Dodongo,30,31,103.3,1:26:47,10,32.3
Map & Compass in Bottom of the Well,69,70,101.4,1:20:34,18,25.7
All 5 Skulltulas in Fire Temple,109,108,99.1,1:21:33,30,27.8
Silver Gauntlets,66,65,98.5,1:23:41,14,21.5
Ice Arrows,35,34,97.1,1:19:18,4,11.8
Farore's Wind,79,75,94.9,1:20:22,18,24.0
All 3 Kokiri Forest area Skulltulas,53,49,92.5,1:18:50,10,20.4
All 5 Skulltulas in Spirit Temple,75,69,92.0,1:18:33,23,33.3
Double Defense,66,59,89.4,1:22:28,8,13.6
Fairy Slingshot,54,48,88.9,1:29:35,6,12.5
4 Skulltulas in Shadow Temple,103,91,88.3,1:21:02,24,26.4
Epona's Song,67,59,88.1,1:23:55,14,23.7
6 Hearts,50,44,88.0,1:27:23,5,11.4
8 Hearts (no duping),196,172,87.8,1:21:36,39,22.7
Defeat all Lizalfos in Dodongo's Cavern,49,43,87.8,1:26:40,13,30.2
Map & Compass in Shadow Temple,41,36,87.8,1:23:24,5,13.9
6 Compasses,103,90,87.4,1:22:58,24,26.7
5 Zora area HPs,120,104,86.7,1:23:09,22,21.2
3 Boss Keys,37,32,86.5,1:23:22,3,9.4
All 3 Skulltulas in Ice Cavern,43,37,86.0,1:20:34,8,21.6
All 4 Skulltulas in Jabu-Jabu,42,36,85.7,1:20:48,9,25.0
6 Different Unused Keys in Gerudo Training Grounds,41,35,85.4,1:20:34,8,22.9
4 Songs,48,41,85.4,1:21:43,7,17.1
Fill all 4 Bottle Slots,46,39,84.8,1:23:38,7,17.9
All 5 Skulltulas in Forest Temple,79,67,84.8,1:20:01,18,26.9
Open 3 Boss Key Doors,138,115,83.3,1:25:01,21,18.3
Free all 9 Gorons in Fire Temple,103,85,82.5,1:23:57,18,21.2
5 Unused Keys in Gerudo Training Grounds,39,32,82.1,1:19:19,7,21.9
Map & Compass in Water Temple,66,54,81.8,1:22:37,13,24.1
8 Songs,55,45,81.8,1:19:11,9,20.0
Ganon's Castle Boss Key,103,84,81.6,1:22:32,15,17.9
Boomerang,43,35,81.4,1:18:54,10,28.6
Water Temple Boss Key,43,35,81.4,1:23:21,7,20.0
5 Maps,61,49,80.3,1:25:51,10,20.4
7 Compasses,223,179,80.3,1:22:50,39,21.8
Obtain all 5 Small Keys in Shadow Temple,141,113,80.1,1:22:47,15,13.3
Iron Boots,45,36,80.0,1:21:48,5,13.9
Lon Lon Ranch HP,69,55,79.7,1:23:32,11,20.0
5 Compasses,49,39,79.6,1:24:17,5,12.8
All 5 Skulltulas in Shadow Temple,83,66,79.5,1:24:23,10,15.2
3 Shields & 3 Boots,162,128,79.0,1:22:24,26,20.3
Open 3 Gold Rupee Chests,145,114,78.6,1:22:00,31,27.2
Beat the Fire Temple,103,81,78.6,1:26:07,11,13.6
2 Boss Keys,37,29,78.4,1:29:05,2,6.9
30 Different Skulltulas,417,326,78.2,1:29:05,41,12.6
Giant's Wallet,45,35,77.8,1:22:37,3,8.6
All 4 Lost Woods area Skulltulas,54,42,77.8,1:24:35,8,19.0
Map & Compass in Forest Temple,81,63,77.8,1:28:31,9,14.3
Beat Jabu-Jabu's Belly,73,56,76.7,1:25:20,8,14.3
Fire Temple Boss Key,115,88,76.5,1:22:50,19,21.6
Silver Scale,127,97,76.4,1:23:46,19,19.6
Defeat Queen Gohma,38,29,76.3,1:23:10,12,41.4
3 Boots,58,44,75.9,1:21:45,10,22.7
3 Shields,66,50,75.8,1:23:42,11,22.0
Obtain all 5 Small Keys in Forest Temple,94,71,75.5,1:26:03,15,21.1
Defeat a Skull Kid,106,80,75.5,1:21:39,17,21.2
Defeat Dark Link,65,49,75.4,1:23:19,8,16.3
4 Unused Keys in Forest Temple,56,42,75.0,1:27:15,5,11.9
500 Rupees,56,42,75.0,1:25:50,7,16.7
9 Songs,76,57,75.0,1:19:31,16,28.1
Milk,40,30,75.0,1:19:59,9,30.0
7 Hearts (no duping),64,48,75.0,1:25:26,13,27.1
Defeat Big Octo,55,41,74.5,1:22:21,7,17.1
2 Skulltulas in Lon Lon Ranch,106,79,74.5,1:24:50,12,15.2
Defeat both Flare Dancers,43,32,74.4,1:19:11,6,18.8
Defeat Volvagia,144,107,74.3,1:23:14,24,22.4
Fairy Bow,61,45,73.8,1:27:17,8,17.8
4 Compasses,38,28,73.7,1:20:53,6,21.4
Defeat 4 Different Iron Knuckles,125,92,73.6,1:20:31,23,25.0
3 Tunics & 3 Boots,53,39,73.6,1:21:15,9,23.1
Defeat Bongo-Bongo,30,22,73.3,1:24:09,6,27.3
Double Magic,44,32,72.7,1:27:54,5,15.6
Open the Final Door of Light Trial,61,44,72.1,1:25:17,5,11.4
7 Songs,57,41,71.9,1:20:32,13,31.7
7 Maps,109,78,71.6,1:23:47,19,24.4
Bottled Fairy,74,53,71.6,1:22:38,12,22.6
Both HPs in Death Mountain Crater,104,74,71.2,1:24:12,16,21.6
Forest Temple Boss Key,80,57,71.2,1:21:37,10,17.5
Gerudo's Card,62,44,71.0,1:23:20,12,27.3
Exactly 20 Deku Sticks,86,61,70.9,1:19:41,19,31.1
Desert Colossus HP,48,34,70.8,1:20:23,7,20.6
1 Unused Small Key in each Adult Dungeon,135,95,70.4,1:26:38,18,18.9
20 Different Skulltulas,77,54,70.1,1:28:27,6,11.1
Beat the Forest Temple,43,30,69.8,1:21:12,6,20.0
Beat the Water Temple,76,53,69.7,1:22:44,15,28.3
Quiver (40),131,91,69.5,1:21:29,18,19.8
3 Skulltulas in Water Temple,82,57,69.5,1:23:04,11,19.3
Defeat Barinade,49,34,69.4,1:26:09,6,17.6
Goron Tunic,110,76,69.1,1:21:12,16,21.1
3 Unused Keys in Gerudo Training Grounds,55,38,69.1,1:20:05,8,21.1
Minuet of Forest,80,55,68.8,1:24:00,9,16.4
10 Songs,205,141,68.8,1:22:16,36,25.5
3 Swords & 3 Boots,73,50,68.5,1:25:14,6,12.0
All 4 Skulltulas in Deku Tree,41,28,68.3,1:20:05,4,14.3
Clear 4 Silver Rupee Rooms,41,28,68.3,1:17:10,12,42.9
Map & Compass in Spirit Temple,126,86,68.3,1:20:41,22,25.6
Map & Compass in Dodongo's Cavern,88,60,68.2,1:25:24,13,21.7
Golden Gauntlets,43,29,67.4,1:19:38,10,34.5
Ruto's Letter,55,37,67.3,1:22:36,9,24.3
Nayru's Love,73,49,67.1,1:22:43,5,10.2
3 Lake Hylia Skulltulas,54,36,66.7,1:24:06,8,22.2
All 5 Skulltulas in Dodongo's Cavern,51,34,66.7,1:21:15,9,26.5
15 Different Skulltulas,56,37,66.1,1:27:20,4,10.8
Megaton Hammer,103,68,66.0,1:20:03,17,25.0
6 Maps,67,44,65.7,1:25:17,6,13.6
Obtain all 8 Small Keys in Fire Temple,117,76,65.0,1:21:05,16,21.1
Open 5 Gold Rupee Chests,107,69,64.5,1:21:36,14,20.3
Open the Final Door of Spirit Trial,62,40,64.5,1:21:43,11,27.5
Din's Fire,188,121,64.4,1:23:41,22,18.2
3 Shields & 3 Tunics,70,45,64.3,1:26:15,10,22.2
Fire Medallion,86,55,64.0,1:22:51,12,21.8
Clear 8 Silver Rupee Rooms,88,55,62.5,1:27:40,8,14.5
Mirror Shield,61,38,62.3,1:24:47,6,15.8
Defeat Meg (purple Poe),183,113,61.7,1:22:04,21,18.6
30 Deku Nuts,81,50,61.7,1:19:33,12,24.0
Open All 6 Gold Rupee Chests,226,139,61.5,1:24:08,18,12.9
Open the Final Door of Water Trial,106,65,61.3,1:20:20,19,29.2
Bolero of Fire,105,64,61.0,1:28:09,11,17.2
Defeat Phantom Ganon,33,20,60.6,1:17:53,8,40.0
9 Hearts (no duping),235,141,60.0,1:26:13,19,13.5
Get Bombchu chest in Spirit Temple,40,24,60.0,1:38:11,4,16.7
Map & Compass in Fire Temple,67,40,59.7,1:27:09,7,17.5
1 Skulltula from each Child Dungeon,66,39,59.1,1:20:20,13,33.3
Map & Compass in Deku Tree,41,24,58.5,1:22:49,5,20.8
Plant bean in Death Mountain Crater,53,31,58.5,1:31:51,4,12.9
Map & Compass in Jabu-Jabu,60,35,58.3,1:25:08,9,25.7
3 Songs,31,18,58.1,1:19:30,5,27.8
3 Swords & 3 Tunics,45,26,57.8,1:24:38,2,7.7
Spirit Temple Boss Key,52,30,57.7,1:27:34,3,10.0
Beat Dodongo's Cavern,73,42,57.5,1:21:35,9,21.4
5 Hearts,82,47,57.3,1:28:47,4,8.5
Open 2 Boss Key Doors,51,29,56.9,1:22:20,5,17.2
6 Songs,37,21,56.8,1:26:19,5,23.8
3 Tunics,103,58,56.3,1:26:19,6,10.3
Giant's Knife,73,41,56.2,1:19:39,8,19.5
Defeat Morpha,48,27,56.2,1:21:45,9,33.3
Longshot,66,37,56.1,1:26:14,3,8.1
7 Different Bottled Contents,52,29,55.8,1:21:35,6,20.7
Zora Tunic,72,40,55.6,1:20:15,15,37.5
Bullet Bag (50),90,50,55.6,1:27:19,8,16.0
Saria's Song,101,56,55.4,1:22:42,11,19.6
Clear 10 Silver Rupee Rooms,189,103,54.5,1:27:36,15,14.6
Defeat a White Wolfos,35,19,54.3,1:24:45,6,31.6
All 5 Lake Hylia Skulltulas,129,70,54.3,1:25:23,14,20.0
Water Medallion,54,29,53.7,1:32:27,1,3.4
"3 Swords, Tunics, Boots, and Shields",267,143,53.6,1:21:01,33,23.1
Light Arrows,92,49,53.3,1:24:47,7,14.3
Open the Final Door of Shadow Trial,89,47,52.8,1:23:21,11,23.4
Beat the Shadow Temple,46,24,52.2,1:26:45,0,0.0
Both Gerudo Valley HPs,39,20,51.3,1:20:43,4,20.0
Defeat Nabooru-Knuckle,55,28,50.9,1:28:17,4,14.3
All 4 Market area Skulltulas,144,73,50.7,1:23:06,19,26.0
Bullet Bag (40),48,24,50.0,1:33:17,1,4.2
Beat the Spirit Temple,245,122,49.8,1:21:32,32,26.2
7 Different Unused Keys in Gerudo Training Grounds,81,40,49.4,1:26:39,7,17.5
Forest Medallion,49,24,49.0,1:25:28,2,8.3
Defeat Amy (Green Poe),47,23,48.9,1:26:29,6,26.1
Shadow Temple Boss Key,43,21,48.8,1:21:21,6,28.6
Both Rusty Switches in Spirit Temple,210,102,48.6,1:23:31,17,16.7
4 Maps,25,12,48.0,1:19:05,1,8.3
Exactly 30 Deku Sticks,142,67,47.2,1:21:51,12,17.9
Open the Final Door of Fire Trial,49,23,46.9,1:20:54,6,26.1
3 Swords & 3 Shields,95,44,46.3,1:26:05,5,11.4
All 4 Child Skulltulas in Zora's Domain Area,81,37,45.7,1:18:36,12,32.4
Plant 5 Magic Beans,57,26,45.6,1:26:07,3,11.5
8 Different Unused Keys in Gerudo Training Grounds,77,35,45.5,1:21:56,10,28.6
All 3 Elemental Arrows,370,167,45.1,1:25:19,25,15.0
4 Unused Keys in Gerudo Training Grounds,38,17,44.7,1:19:31,3,17.6
Blue Fire,43,19,44.2,1:25:40,4,21.1
Cow in House,52,23,44.2,1:17:41,8,34.8
Goron Bracelet,172,76,44.2,1:28:06,11,14.5
