goal,count,pick count,pick%,median,sub 1:15,sub 1:15 rate
5 Hearts,18,11,61.1,1:20:12,2,18.2
9 Songs,18,11,61.1,1:22:33,3,27.3
Double Magic,18,11,61.1,1:21:42,3,27.3
Defeat Twinrova,43,26,60.5,1:20:31,7,26.9
All 8 Kakariko area Skulltulas,15,9,60.0,1:23:43,2,22.2
Defeat Morpha,15,9,60.0,1:19:12,2,22.2
Clear 8 Silver Rupee Rooms,25,15,60.0,1:24:40,3,20.0
Din's Fire,40,24,60.0,1:21:34,6,25.0
All 4 Market area Skulltulas,40,24,60.0,1:25:59,4,16.7
Map & Compass in Deku Tree,10,6,60.0,1:20:13,0,0.0
3 Boss Keys,10,6,60.0,1:31:38,1,16.7
Giant's Wallet,15,9,60.0,1:24:37,2,22.2
5 Magic Beans,32,19,59.4,1:23:32,3,15.8
Both Gerudo Valley HPs,12,7,58.3,1:19:44,1,14.3
Epona's Song,12,7,58.3,1:19:44,1,14.3
Map & Compass in Forest Temple,24,14,58.3,1:26:23,2,14.3
Win Bombchu Bowling Prize,24,14,58.3,1:24:54,4,28.6
Green Gauntlets,78,45,57.7,1:25:07,11,24.4
Ruto's Letter,14,8,57.1,1:33:58,0,0.0
Defeat Big Octo,7,4,57.1,1:50:41,0,0.0
All 8 Death Mountain area Skulltulas,21,12,57.1,1:30:29,0,0.0
Open All 6 Gold Rupee Chests,65,37,56.9,1:25:10,6,16.2
All 3 Elemental Arrows,120,67,55.8,1:23:30,20,29.9
All 4 Child Skulltulas in Zora's Domain Area,18,10,55.6,1:35:54,0,0.0
Defeat Volvagia,38,21,55.3,1:18:21,7,33.3
3 Tunics,22,12,54.5,1:25:08,1,8.3
Shadow Temple Boss Key,11,6,54.5,1:18:57,3,50.0
Defeat King Dodongo,11,6,54.5,1:28:45,1,16.7
Defeat Dark Link,24,13,54.2,1:31:45,1,7.7
Stone of Agony,13,7,53.8,1:29:27,0,0.0
Open the Final Door of Forest Trial,13,7,53.8,1:32:40,1,14.3
