goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
Ruto's Letter,5,2,1,40.0,50.0,1:15:27,1,50.0
Both Rusty Switches in Spirit Temple,36,14,7,38.9,50.0,1:19:18,6,42.9
Defeat Barinade,13,5,3,38.5,60.0,1:16:49,1,20.0
2 Skulltulas in Lon Lon Ranch,13,5,3,38.5,60.0,1:19:09,2,40.0
"3 Swords, Tunics, Boots, and Shields",42,16,8,38.1,50.0,1:30:59,1,6.2
7 Compasses,37,14,6,37.8,42.9,1:25:32,5,35.7
Map & Compass in Spirit Temple,16,6,4,37.5,66.7,1:12:49,4,66.7
Defeat King Dodongo,8,3,2,37.5,66.7,1:17:19,1,33.3
20 Different Skulltulas,8,3,0,37.5,0.0,1:46:02,0,0.0
Ganon's Castle Boss Key,17,6,2,35.3,33.3,1:52:11,0,0.0
8 Different Unused Keys in Gerudo Training Grounds,17,6,3,35.3,50.0,1:16:30,3,50.0
4 Skulltulas in Shadow Temple,17,6,4,35.3,66.7,1:24:54,1,16.7
7 Maps,3,1,1,33.3,100.0,1:20:00,0,0.0
Bomb Bag (30),9,3,1,33.3,33.3,1:46:02,1,33.3
Both Gerudo's Fortress area Skulltulas,9,3,2,33.3,66.7,1:09:48,2,66.7
Giant's Wallet,3,1,1,33.3,100.0,1:14:40,1,100.0
Free all 9 Gorons in Fire Temple,12,4,1,33.3,25.0,1:28:28,0,0.0
Bottled Fairy,9,3,2,33.3,66.7,1:21:48,1,33.3
Open 3 Boss Key Doors,9,3,0,33.3,0.0,1:29:25,0,0.0
Blue Potion,3,1,0,33.3,0.0,1:24:55,0,0.0
30 Deku Nuts,12,4,3,33.3,75.0,1:09:50,4,100.0
Desert Colossus HP,6,2,1,33.3,50.0,1:30:12,0,0.0
Golden Gauntlets,3,1,0,33.3,0.0,1:18:20,0,0.0
3 Shields & 3 Boots,19,6,2,31.6,33.3,1:20:25,2,33.3
Defeat Volvagia,20,6,4,30.0,66.7,1:26:37,1,16.7
Open 50 Rupee chest in Wasteland,10,3,2,30.0,66.7,1:18:42,1,33.3
Goron Tunic,10,3,3,30.0,100.0,1:20:41,0,0.0
Lens of Truth,10,3,1,30.0,33.3,1:38:12,0,0.0
Goron Bracelet,24,7,2,29.2,28.6,1:42:06,0,0.0
3 Swords & 3 Boots,7,2,0,28.6,0.0,1:30:49,0,0.0
7 Songs,7,2,1,28.6,50.0,1:04:05,2,100.0
Stone of Agony,7,2,0,28.6,0.0,2:14:21,0,0.0
Epona's Song,7,2,2,28.6,100.0,1:09:37,2,100.0
Bolero of Fire,14,4,3,28.6,75.0,1:20:06,1,25.0
Water Temple Boss Key,7,2,2,28.6,100.0,1:24:01,0,0.0
7 Hearts,14,4,0,28.6,0.0,1:26:27,0,0.0
Zora Tunic,14,4,3,28.6,75.0,1:37:55,1,25.0
Exactly 20 Deku Sticks,11,3,1,27.3,33.3,1:33:54,0,0.0
Open 5 Gold Rupee Chests,15,4,3,26.7,75.0,1:26:05,1,25.0
Defeat Twinrova,19,5,2,26.3,40.0,1:21:00,0,0.0
Defeat 4 Different Iron Knuckles,19,5,3,26.3,60.0,1:13:14,3,60.0
Saria's Song,19,5,0,26.3,0.0,1:24:55,0,0.0
Green Gauntlets,23,6,3,26.1,50.0,1:37:47,0,0.0
All 4 Wasteland/ Colossus area Skulltulas,12,3,1,25.0,33.3,1:56:20,0,0.0
5 Magic Beans,12,3,2,25.0,66.7,1:27:51,1,33.3
7 Different Bottled Contents,4,1,1,25.0,100.0,1:25:21,0,0.0
Defeat Big Octo,4,1,0,25.0,0.0,1:34:30,0,0.0
Map & Compass in Ice Cavern,4,1,0,25.0,0.0,2:11:32,0,0.0
4 Maps,4,1,0,25.0,0.0,1:52:01,0,0.0
Clear 10 Silver Rupee Rooms,28,7,3,25.0,42.9,1:34:42,1,14.3
Blue Gauntlets,8,2,1,25.0,50.0,1:38:01,0,0.0
Fire Arrows,4,1,1,25.0,100.0,1:41:35,0,0.0
All 4 Lon-Lon Ranch area Skulltulas,8,2,0,25.0,0.0,1:42:20,0,0.0
1 Unused Small Key in each Adult Dungeon,16,4,2,25.0,50.0,1:42:33,0,0.0
All 4 Skulltulas in Jabu-Jabu,8,2,1,25.0,50.0,1:25:33,0,0.0
Defeat a White Wolfos,4,1,1,25.0,100.0,1:31:17,0,0.0
Get to the end of Fire Trial,4,1,0,25.0,0.0,1:21:47,0,0.0
Double Magic,8,2,0,25.0,0.0,1:26:33,0,0.0
