goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
Open the Final Door of Forest Trial,10,1,1,10.0,100.0,1:09:36,1,100.0
Clear 8 Silver Rupee Rooms,11,1,0,9.1,0.0,1:38:07,0,0.0
Minuet of Forest,13,1,0,7.7,0.0,1:49:20,0,0.0
All 8 Death Mountain area Skulltulas,13,1,1,7.7,100.0,1:46:24,0,0.0
Map & Compass in Water Temple,4,0,0,0.0,0.0,nan,0,0.0
3 Songs,3,0,0,0.0,0.0,nan,0,0.0
Gerudo's Card,1,0,0,0.0,0.0,nan,0,0.0
Defeat both Flare Dancers,7,0,0,0.0,0.0,nan,0,0.0
Both Hyrule Field area Skulltulas,7,0,0,0.0,0.0,nan,0,0.0
Open the Final Door of Fire Trial,7,0,0,0.0,0.0,nan,0,0.0
Fairy Slingshot,2,0,0,0.0,0.0,nan,0,0.0
7 Magic Beans,2,0,0,0.0,0.0,nan,0,0.0
Plant bean in Death Mountain Crater,6,0,0,0.0,0.0,nan,0,0.0
Win Bombchu Bowling Prize,6,0,0,0.0,0.0,nan,0,0.0
6 Songs,6,0,0,0.0,0.0,nan,0,0.0
Milk,4,0,0,0.0,0.0,nan,0,0.0
Farore's Wind,3,0,0,0.0,0.0,nan,0,0.0
Defeat Barinade,5,0,0,0.0,0.0,nan,0,0.0
Defeat King Dodongo,3,0,0,0.0,0.0,nan,0,0.0
Defeat Bongo-Bongo,5,0,0,0.0,0.0,nan,0,0.0
Requiem of Spirit,5,0,0,0.0,0.0,nan,0,0.0
Open 50 Rupee chest in Wasteland,4,0,0,0.0,0.0,nan,0,0.0
Both Gerudo Valley HPs,3,0,0,0.0,0.0,nan,0,0.0
37th Heart Piece (Child Fortress),5,0,0,0.0,0.0,nan,0,0.0
